Aldred Oakley
Burley Crowder
Wallis Spooner
Terrel Fulton
Cynric Merton
Milton Lindsey
Gael Ramsey
Rawlings Keats
Norwyn Fiske
Darren Mitchell
Wilson Carlisle
Aldrich Hailey
Oakley Brooks
Roberto Branson
Jessie Ramsey
Wilfred Hayley
Bergess Hammett
Evan Rodney
Kipper Abram
Bailey Kimberly
Romund Trapper
Oswyn Tanne
Eadmod Cherrier
Aelfgar Stanier
Haeferic Cherrier
Nikulas Swiftspear
Aevar Brawn
Friggir Brawn
Gardarr Windstorm
Bodvarr Storme
Arild Brewster
Hiltrude Kantor
Cwenburg Stringer
Burwenna Lander
Eyja Arrow
Geirhildr Swiftaxe
Gerd Anger
Elwyn Fowler
Bertwald River
Aelred Conner
Cynebald Fuller
Alwold Archer
Harald Steelsmash
Godfrid Ferocity
Ragnarr Steelsmash
Nikolas Windstorm
Fjalar Strongarm
Nikolas Strongarm
Aevar Strongharm
Gerd Fowler
Gardaar Blakemore
Wilson Blakemore
Wilson Fuller
Bard Steelsmash
Frodo Ferocity
